ts_code,score,name,industry,pct_chg,open,high,low,close,pre_close,amount,amp_pct
603316.SH,1.2688238158422767,诚邦股份,建筑工程,6.8385,20.95,22.2,20.7,21.56,20.18,1667095.706,7.433102081268583
000608.SZ,0.987022868588231,*ST阳光,区域地产,10.0962,4.36,4.58,4.36,4.58,4.16,106456.1698,5.288461538461532
301360.SZ,0.973262911234424,荣旗科技,专用机械,20.0055,83.14,87.7,80.2,87.7,73.08,331693.53307,10.262725779967159
001259.SZ,0.9585635511073736,利仁科技,家用电器,6.27,79.0,84.05,76.38,82.88,77.99,395351.53444,9.834594178740867
600726.SH,0.9524909157559797,华电能源,火力发电,9.9891,9.75,10.13,9.75,10.13,9.21,1694746.128,4.1259500542888246
603303.SH,0.8702664324183709,得邦照明,家用电器,10.0153,26.31,28.78,26.31,28.78,26.16,362224.066,9.44189602446484
600162.SH,0.816173375651416,香江控股,全国地产,9.8425,2.72,2.79,2.6,2.79,2.54,315883.034,7.480314960629919
000539.SZ,0.7258329466480172,粤电力Ａ,火力发电,10.0372,8.77,8.88,8.52,8.88,8.07,1024388.05713,4.460966542750945
603093.SH,0.7043643230738563,南华期货,多元金融,6.486,21.41,22.73,21.4,22.0,20.66,608451.479,6.437560503388198
603629.SH,0.7025589028473206,利通电子,元器件,9.4078,230.0,240.88,227.89,240.73,220.03,6763537.016,5.903740399036499
603986.SH,0.6576750133111302,兆易创新,半导体,-3.3106,492.66,496.0,464.91,467.01,483.0,26715074.211,6.436853002070388
301308.SZ,0.581534224591991,江波龙,半导体,0.5985,554.7,573.42,531.5,551.29,548.01,9816558.6714,7.649495447163365
600869.SH,0.575286844831217,远东股份,电气设备,9.9954,22.37,24.1,22.37,24.1,21.91,3146831.886,7.895937927886812
002281.SZ,0.5670096071202906,光迅科技,通信设备,-5.0954,213.82,219.19,202.45,203.95,214.9,12134473.5853,7.789669613773851
301139.SZ,0.543951508105015,元道通信,通信设备,-10.2083,4.58,4.86,4.29,4.31,4.8,88848.24514,11.875000000000007
600857.SH,0.506208029730301,宁波中百,百货,10.0,14.35,15.51,13.9,15.51,14.1,415766.13,11.418439716312053
603618.SH,0.4937016396764934,杭电股份,电气设备,9.9923,38.0,42.71,36.99,42.71,38.83,5707830.798,14.730878186968836
300489.SZ,0.4829813162449896,光智科技,专用机械,5.8706,146.0,158.58,143.0,148.24,140.02,2583914.7434,11.126981859734332
600584.SH,0.48169530602166766,长电科技,半导体,-3.1744,86.0,89.77,80.33,82.05,84.74,26508349.088,11.139957517111162
300308.SZ,0.4805414068330327,中际旭创,通信设备,-3.0743,1190.0,1209.99,1155.0,1161.16,1197.99,33891957.4327,4.590188565847796
603890.SH,0.47738077555414277,春秋电子,元器件,10.0222,23.39,24.81,23.18,24.81,22.55,1021298.989,7.228381374722834
600487.SH,0.47693489385093674,亨通光电,通信设备,9.4211,70.49,77.53,69.48,77.12,70.48,24318139.898,11.421679909194093
301591.SZ,0.47338436900576175,肯特股份,塑料,10.2439,42.01,49.0,41.66,47.46,43.05,862584.14694,17.049941927990716
600110.SH,0.4348604643693364,诺德股份,电气设备,9.9913,11.7,12.66,11.51,12.66,11.51,3438621.25,9.991311902693313
600184.SH,0.4227668686249522,光电股份,专用机械,5.6189,25.5,28.0,25.44,26.88,25.45,1655671.03,10.058939096267187
301511.SZ,0.4181609311747971,德福科技,电气设备,5.1037,119.59,135.7,118.51,125.62,119.52,6905667.02955,14.382530120481915
301439.SZ,0.39685870396177514,泓淋电力,电气设备,19.9877,19.57,19.57,19.57,19.57,16.31,237094.58142,0.0
600863.SH,0.39577693977602957,华能蒙电,火力发电,9.9398,6.64,7.3,6.47,7.3,6.64,4214506.686,12.500000000000004
002975.SZ,0.39226335427911924,博杰股份,专用机械,7.462,140.99,147.71,139.5,144.3,134.28,3533369.72796,6.114089961274954
603324.SH,0.38329992588670175,盛剑科技,环境保护,10.0096,32.36,34.29,32.28,34.29,31.17,506650.672,6.448508180943207
