ts_code,score,name,industry,pct_chg,open,high,low,close,pre_close,amount,amp_pct
603117.SH,0.03618723518222055,万林物流,仓储物流,-5.4852,4.7,4.75,4.43,4.48,4.74,89636.553,6.7510548523206815
600160.SH,0.03488640728552708,巨化股份,化工原料,-4.4837,34.57,34.64,33.02,33.02,34.57,1313291.611,4.6861440555394775
002628.SZ,0.0331448378267845,成都路桥,建筑工程,-5.5449,5.28,5.28,4.91,4.94,5.23,143861.22064,7.074569789674953
002988.SZ,0.03266643350928914,豪美新材,铝,-4.4586,31.9,33.0,29.84,30.0,31.4,139923.322,10.063694267515924
300190.SZ,0.03193370335070508,维尔利,环境保护,-5.9497,4.37,4.37,4.09,4.11,4.37,112592.81418,6.407322654462249
000007.SZ,0.031652531092965654,全新好,其他商业,-4.7098,12.0,12.09,11.19,11.33,11.89,129324.892,7.569386038687975
300074.SZ,0.03133794210757495,华平股份,软件服务,-4.8837,4.3,4.39,4.05,4.09,4.3,76283.039,7.906976744186044
002316.SZ,0.030421505354915095,亚联发展,软件服务,-4.2308,5.24,5.3,4.93,4.98,5.2,95173.616,7.115384615384618
002313.SZ,0.0302883806335918,日海智能,通信设备,-4.8988,9.35,9.55,8.87,8.93,9.39,104325.648,7.241746538871155
000975.SZ,0.030034115301992882,山金国际,黄金,-1.4912,23.72,23.79,22.39,22.46,22.8,1026433.99978,6.140350877192976
603590.SH,0.030031663099824458,康辰药业,生物制药,-1.5714,35.23,36.22,34.1,34.45,35.0,173896.133,6.05714285714285
300348.SZ,0.030010663954299573,长亮科技,软件服务,-2.958,10.48,10.55,10.12,10.17,10.48,138087.40677,4.103053435114518
002141.SZ,0.029733339370129324,贤丰控股,农业综合,-3.2164,3.44,3.5,3.3,3.31,3.42,52381.95526,5.8479532163742745
300272.SZ,0.02946058603936613,开能健康,家用电器,-4.0689,6.46,6.46,6.12,6.13,6.39,64501.7866,5.3208137715179955
002657.SZ,0.029296266138900504,中科金财,软件服务,-3.8777,18.4,18.75,17.57,17.6,18.31,162879.404,6.444565811032222
301586.SZ,0.02917972989817193,佳力奇,航空,-4.8292,38.93,39.47,37.05,37.05,38.93,36601.7,6.216285640893917
300264.SZ,0.028386636305872088,佳创视讯,软件服务,-5.3961,8.72,8.88,8.21,8.24,8.71,124513.651,7.692307692307692
300269.SZ,0.028166033096465263,联建光电,元器件,-5.0725,5.5,5.55,5.2,5.24,5.52,134140.935,6.340579710144921
300324.SZ,0.028015512396457172,旋极信息,软件服务,-4.2644,4.72,4.83,4.45,4.49,4.69,237747.68081,8.102345415778249
300551.SZ,0.027953183251739223,古鳌科技,软件服务,-4.2208,12.3,13.07,11.75,11.8,12.32,156801.63122,10.714285714285717
002405.SZ,0.027746833197337548,四维图新,软件服务,-5.4171,9.29,9.48,8.71,8.73,9.23,908353.10908,8.34236186348862
000534.SZ,0.027532196150875207,万泽股份,生物制药,-8.8056,36.27,36.97,32.66,32.83,36.0,906672.05391,11.972222222222229
300217.SZ,0.027467307893939037,东方电热,家用电器,-5.0279,5.37,5.4,5.07,5.1,5.37,306806.90668,6.145251396648046
600543.SH,0.02740370614329127,*ST莫高,红黄酒,-1.7429,4.58,4.63,4.48,4.51,4.59,14867.718,3.2679738562091387
688707.SH,0.02712850685391549,振华新材,电气设备,-4.8684,15.25,15.5,14.32,14.46,15.2,231085.378,7.763157894736842
002532.SZ,0.026799023135785024,天山铝业,铝,-0.8632,15.27,15.48,14.9,14.93,15.06,1085419.06957,3.851261620185923
002115.SZ,0.026558405089426553,三维通信,互联网,-6.0816,12.99,13.13,12.09,12.2,12.99,576948.0398,8.006158583525796
688408.SH,0.026348971148704704,中信博,电气设备,-5.3778,37.19,37.19,34.92,35.19,37.19,180625.788,6.1037913417585274
000807.SZ,0.026277252925049406,云铝股份,铝,-0.9732,29.41,29.55,28.47,28.49,28.77,1897111.85511,3.7539103232533955
300339.SZ,0.026171299320632824,润和软件,软件服务,-7.1346,43.39,43.85,40.22,40.22,43.31,1416708.90705,8.3814361579312
