ts_code,name,industry,pct_chg,cum3,cum5,cum8,down5_cnt,down_streak,intraday,amp_pct,amount,large_net_mf_ratio,reversal_candidate_score
301550.SZ,斯菱智驱,汽车配件,-5.0916,-0.40159133605923303,-0.44284391398292,-0.4193029490616622,5.0,7,-5.826086956521737,9.683638594338806,1041869.42164,-0.008943548784964407,119.23825334428865
301396.SZ,宏景科技,软件服务,-3.43,-0.33941634241245133,-0.40859053856336647,-0.4727476008571695,5.0,6,-2.4310344827586094,6.405005688282149,1670524.03903,-0.0068955667388591975,117.3523138765018
688012.SH,DR中微公,半导体,-8.2908,-0.40006592682122843,-0.4374613641046775,-0.4432321089878245,5.0,5,-5.862068965517242,6.795888202096216,9101783.531,-0.00025598059897431936,116.20110229666997
301489.SZ,思泉新材,元器件,-2.1328,-0.38224216684029166,-0.410130843981942,-0.4493374763384407,3.0,2,-4.520683675997017,8.486733527992895,1009826.20672,-0.0008257460486279573,113.36889853172757
300953.SZ,震裕科技,电气设备,-0.4521,-0.3812159400544959,-0.4177549875811233,-0.4003630662595924,5.0,6,-1.7308992562542258,3.664383561643832,1570637.55406,-0.008971948979300723,113.20699916741098
002335.SZ,科华数据,电气设备,-2.3297,-0.36659472023908346,-0.40222500783453463,-0.4297458893871451,4.0,2,-2.3547478884054285,3.123399897593443,938997.04555,-0.0053098463127533874,111.56955286856233
002837.SZ,英维克,专用机械,-5.453,-0.3047779414860029,-0.3773798303487276,-0.3906466193155612,4.0,2,-3.5761202744124976,7.05596107055962,4426359.01403,-0.016135024243091354,103.94782895952967
300870.SZ,欧陆通,电气设备,-7.6364,-0.3908872901678657,-0.39952718676122934,-0.38943775390014657,3.0,2,-9.708151149976896,11.152727272727269,1843397.21242,-0.016142218182556442,102.63762949266788
688195.SH,DR腾景科,元器件,-5.6392,-0.3243226695239553,-0.33527090925518765,-0.36771994155899956,3.0,2,-5.639162035057721,8.507909362975633,1750427.231,-0.0071726546397631995,93.35201368137422
300731.SZ,科创新源,橡胶,-0.8155,-0.3204425942156004,-0.34373677528565383,-0.344291754756871,3.0,2,-1.3674670058832827,6.923568915893825,726483.43482,-0.004648653827649561,93.00666262431206
300811.SZ,铂科新材,矿物制品,-4.902,-0.045496642741375215,-0.3749999999999999,-0.20067862336403297,4.0,2,-6.603987313094695,9.677047289504037,1691854.03854,-0.015259277344207855,88.3237713144342
603283.SH,赛腾股份,专用机械,0.0415,-0.2698076049083472,-0.30836561917061267,-0.3211267605633802,3.0,0,0.5213764337852034,7.305936073059352,1047527.201,-0.002495610612788276,85.15592457820476
300290.SZ,荣科科技,软件服务,-7.1685,-0.18681318681318693,-0.29427792915531337,-0.31526768010575024,5.0,5,6.694129763130774,11.021505376344074,627946.93513,-0.00731090438246916,84.86271068184303
300632.SZ,光莆股份,半导体,-4.1458,-0.1439514842004468,-0.2953231739358907,-0.3173835581572919,5.0,5,-2.826086956521745,8.005718370264482,856690.36382,-0.013663419707215714,84.52152912162926
002297.SZ,博云新材,航空,-4.6094,-0.17011397214014357,-0.3276333789329685,-0.16553480475382,5.0,5,-3.580186365865623,5.434255215914609,2266149.83487,-0.0165237220521864,78.18374514413557
603779.SH,威龙股份,红黄酒,0.7136,-0.15555555555555545,-0.2850940665701881,-0.25151515151515147,4.0,0,1.9607843137255054,11.009174311926607,544736.678,-0.006896818502828981,77.59689948644818
300571.SZ,平治信息,互联网,-3.0723,-0.09049049049049052,-0.26961414790996785,-0.2880426265475631,5.0,6,-1.3249348392701976,4.651162790697675,510961.89649,-0.0052071201752557,77.56354250724874
