tag,source,month,direction,n_days,ic,rank_ic,top10_abs_bp,top_bottom_bp
lstm_ic_large,pre_may_default_censor,2025-02,forward,17,0.08968949001973384,0.073782084220723,20.88156127480461,170.18401960376653
lstm_ic_large,pre_may_default_censor,2025-02,inverse,17,-0.08968949001973384,-0.073782084220723,-149.3024583289619,-170.18401960376653
lstm_ic_large,pre_may_default_censor,2025-03,forward,21,0.13451144523474454,0.11950910069184142,7.943637832622265,193.14750954176165
lstm_ic_large,pre_may_default_censor,2025-03,inverse,21,-0.13451144523474454,-0.11950910069184142,-185.20387170913938,-193.14750954176165
lstm_ic_large,pre_may_default_censor,2025-04,forward,21,0.12242806894777356,0.08251127641031805,35.25402144406966,239.2203536361367
lstm_ic_large,pre_may_default_censor,2025-04,inverse,21,-0.12242806894777356,-0.08251127641031805,-203.96633219206706,-239.2203536361367
lstm_ic_large,pre_may_default_censor,2025-05,forward,19,0.1211806238601084,0.11997023119894418,18.467699843887733,207.19654593267478
lstm_ic_large,pre_may_default_censor,2025-05,inverse,19,-0.1211806238601084,-0.11997023119894418,-188.72884608878707,-207.19654593267478
lstm_ic_large,pre_may_default_censor,2025-06,forward,20,0.11750585516337604,0.099142760469763,19.459561197436415,199.49617860256694
lstm_ic_large,pre_may_default_censor,2025-06,inverse,20,-0.11750585516337604,-0.099142760469763,-180.03661740513058,-199.49617860256694
lstm_ic_large,pre_may_default_censor,2025-07,forward,23,0.13498478747105364,0.13343706809171352,26.130864739610374,231.59820346273074
lstm_ic_large,pre_may_default_censor,2025-07,inverse,23,-0.13498478747105364,-0.13343706809171352,-205.46733872312043,-231.59820346273074
lstm_ic_large,pre_may_default_censor,2025-08,forward,21,0.07447960609684155,0.06475225384843712,12.372490309644494,147.19875271354493
lstm_ic_large,pre_may_default_censor,2025-08,inverse,21,-0.07447960609684155,-0.06475225384843712,-134.82626240390044,-147.19875271354493
lstm_ic_large,pre_may_default_censor,2025-09,forward,22,0.08172446133588669,0.07077868423889098,13.922568324646406,171.50668503944127
lstm_ic_large,pre_may_default_censor,2025-09,inverse,22,-0.08172446133588669,-0.07077868423889098,-157.58411671479487,-171.50668503944127
lstm_ic_large,pre_may_default_censor,2025-10,forward,17,0.1301496211027396,0.1339766868456636,42.87457370425247,164.4377557488898
lstm_ic_large,pre_may_default_censor,2025-10,inverse,17,-0.1301496211027396,-0.1339766868456636,-121.56318204463733,-164.4377557488898
lstm_ic_large,pre_may_default_censor,2025-11,forward,20,0.09191388487279105,0.08511385940928885,5.30118797905743,147.4829773462261
lstm_ic_large,pre_may_default_censor,2025-11,inverse,20,-0.09191388487279105,-0.08511385940928885,-142.18178936716868,-147.4829773462261
lstm_ic_large,pre_may_default_censor,2025-12,forward,23,0.08253085571093378,0.0594268666269004,-17.72415736922995,93.83905706825949
lstm_ic_large,pre_may_default_censor,2025-12,inverse,23,-0.08253085571093378,-0.0594268666269004,-111.5632144374894,-93.83905706825949
lstm_ic_large,pre_may_default_censor,2026-01,forward,20,0.07654090205329767,0.08700705958365387,-3.3423395114368755,144.12988608964952
lstm_ic_large,pre_may_default_censor,2026-01,inverse,20,-0.07654090205329767,-0.08700705958365387,-147.4722256010864,-144.12988608964952
lstm_ic_large,pre_may_default_censor,2026-02,forward,14,0.053703932518938145,0.040887467024502584,-18.633590788210444,66.30803258667584
lstm_ic_large,pre_may_default_censor,2026-02,inverse,14,-0.053703932518938145,-0.040887467024502584,-84.94162337488626,-66.30803258667584
lstm_ic_large,pre_may_default_censor,2026-03,forward,22,0.11658116696996833,0.10070347862223654,-5.884973203964448,202.39999716630498
lstm_ic_large,pre_may_default_censor,2026-03,inverse,22,-0.11658116696996833,-0.10070347862223654,-208.2849703702694,-202.39999716630498
lstm_ic_large,pre_may_default_censor,2026-04,forward,20,0.043328063688890014,0.042068841863996696,7.302666583564135,127.27328867185861
lstm_ic_large,pre_may_default_censor,2026-04,inverse,20,-0.043328063688890014,-0.042068841863996696,-119.97062208829446,-127.27328867185861
lstm_ic_large,may_no_future_censor,2026-05,forward,16,-0.055187056087772295,-0.03650761826877622,-29.125307682079438,18.47944459314021
lstm_ic_large,may_no_future_censor,2026-05,inverse,16,0.055187056087772295,0.03650761826877622,-47.60475227521965,-18.47944459314021
lstm_ic_h384_l2_w20,pre_may_default_censor,2025-02,forward,17,0.09178333861207105,0.08036953345286971,8.914134235751314,143.6014170998105
lstm_ic_h384_l2_w20,pre_may_default_censor,2025-02,inverse,17,-0.09178333861207105,-0.08036953345286971,-134.68728286405914,-143.6014170998105
lstm_ic_h384_l2_w20,pre_may_default_censor,2025-03,forward,21,0.13558939749982973,0.12319518610911583,15.544451928387081,207.97723796983652
lstm_ic_h384_l2_w20,pre_may_default_censor,2025-03,inverse,21,-0.13558939749982973,-0.12319518610911583,-192.4327860414494,-207.97723796983652
lstm_ic_h384_l2_w20,pre_may_default_censor,2025-04,forward,21,0.11956605332277609,0.08521688214600794,47.04385699837336,245.33771330745708
lstm_ic_h384_l2_w20,pre_may_default_censor,2025-04,inverse,21,-0.11956605332277609,-0.08521688214600794,-198.2938563090838,-245.33771330745708
lstm_ic_h384_l2_w20,pre_may_default_censor,2025-05,forward,19,0.12023316535452962,0.11973539838735739,23.68001948190412,234.0336919985834
lstm_ic_h384_l2_w20,pre_may_default_censor,2025-05,inverse,19,-0.12023316535452962,-0.11973539838735739,-210.35367251667924,-234.0336919985834
lstm_ic_h384_l2_w20,pre_may_default_censor,2025-06,forward,20,0.11603848713315605,0.10273804552893381,31.309314597456247,205.54906904435484
lstm_ic_h384_l2_w20,pre_may_default_censor,2025-06,inverse,20,-0.11603848713315605,-0.10273804552893381,-174.23975444689862,-205.54906904435484
lstm_ic_h384_l2_w20,pre_may_default_censor,2025-07,forward,23,0.1342104762144236,0.13371996700426247,30.05028149598967,245.43656749807744
lstm_ic_h384_l2_w20,pre_may_default_censor,2025-07,inverse,23,-0.1342104762144236,-0.13371996700426247,-215.3862860020878,-245.43656749807744
lstm_ic_h384_l2_w20,pre_may_default_censor,2025-08,forward,21,0.07167604191318715,0.0627111613800339,22.35296395762513,148.85414144512092
lstm_ic_h384_l2_w20,pre_may_default_censor,2025-08,inverse,21,-0.07167604191318715,-0.0627111613800339,-126.50117748749575,-148.85414144512092
lstm_ic_h384_l2_w20,pre_may_default_censor,2025-09,forward,22,0.08100647835858722,0.07471593793682697,13.411841226942753,200.25616744930053
lstm_ic_h384_l2_w20,pre_may_default_censor,2025-09,inverse,22,-0.08100647835858722,-0.07471593793682697,-186.84432622235775,-200.25616744930053
lstm_ic_h384_l2_w20,pre_may_default_censor,2025-10,forward,17,0.12547547503652046,0.12851205377960317,52.13460359920966,186.0718065787189
lstm_ic_h384_l2_w20,pre_may_default_censor,2025-10,inverse,17,-0.12547547503652046,-0.12851205377960317,-133.9372029795092,-186.0718065787189
lstm_ic_h384_l2_w20,pre_may_default_censor,2025-11,forward,20,0.09210647666009324,0.08958696150485446,8.379699333454486,155.23507286852688
lstm_ic_h384_l2_w20,pre_may_default_censor,2025-11,inverse,20,-0.09210647666009324,-0.08958696150485446,-146.85537353507246,-155.23507286852688
lstm_ic_h384_l2_w20,pre_may_default_censor,2025-12,forward,23,0.08329235359003505,0.06182596914985639,-15.930187106436204,96.10458663361067
lstm_ic_h384_l2_w20,pre_may_default_censor,2025-12,inverse,23,-0.08329235359003505,-0.06182596914985639,-112.03477374004689,-96.10458663361067
lstm_ic_h384_l2_w20,pre_may_default_censor,2026-01,forward,20,0.07925498488068657,0.09128861962635729,22.625500123831443,126.25173697597347
lstm_ic_h384_l2_w20,pre_may_default_censor,2026-01,inverse,20,-0.07925498488068657,-0.09128861962635729,-103.62623685214203,-126.25173697597347
lstm_ic_h384_l2_w20,pre_may_default_censor,2026-02,forward,14,0.054862063376622486,0.04610483526758101,-11.988028326803558,72.87589155436892
lstm_ic_h384_l2_w20,pre_may_default_censor,2026-02,inverse,14,-0.054862063376622486,-0.04610483526758101,-84.86391988117248,-72.87589155436892
lstm_ic_h384_l2_w20,pre_may_default_censor,2026-03,forward,22,0.11658144154424184,0.10389408478482552,-7.745600886251356,155.25753526625607
lstm_ic_h384_l2_w20,pre_may_default_censor,2026-03,inverse,22,-0.11658144154424184,-0.10389408478482552,-163.0031361525074,-155.25753526625607
lstm_ic_h384_l2_w20,pre_may_default_censor,2026-04,forward,20,0.04644571780252949,0.04422069668869809,-11.418873548973353,139.5532692898996
lstm_ic_h384_l2_w20,pre_may_default_censor,2026-04,inverse,20,-0.04644571780252949,-0.04422069668869809,-150.97214283887294,-139.5532692898996
lstm_ic_h384_l2_w20,may_no_future_censor,2026-05,forward,16,-0.053009816132149834,-0.029516807110983173,-61.11251907623227,13.913133764617674
lstm_ic_h384_l2_w20,may_no_future_censor,2026-05,inverse,16,0.053009816132149834,0.029516807110983173,-75.02565284084994,-13.913133764617674
lstm_ic_h384_l3_w20,pre_may_default_censor,2025-02,forward,17,0.09184727210238908,0.07567580685513978,15.548083705224963,151.2859023641795
lstm_ic_h384_l3_w20,pre_may_default_censor,2025-02,inverse,17,-0.09184727210238908,-0.07567580685513978,-135.73781865895452,-151.2859023641795
lstm_ic_h384_l3_w20,pre_may_default_censor,2025-03,forward,21,0.12947028758661483,0.12502882654565453,-6.878655730924078,131.3197608687915
lstm_ic_h384_l3_w20,pre_may_default_censor,2025-03,inverse,21,-0.12947028758661483,-0.12502882654565453,-138.19841659971556,-131.3197608687915
lstm_ic_h384_l3_w20,pre_may_default_censor,2025-04,forward,21,0.1264656128117906,0.08934122025859767,36.00373674028864,246.23441983601964
lstm_ic_h384_l3_w20,pre_may_default_censor,2025-04,inverse,21,-0.1264656128117906,-0.08934122025859767,-210.23068309573102,-246.23441983601964
lstm_ic_h384_l3_w20,pre_may_default_censor,2025-05,forward,19,0.11246647467278299,0.10458581586336482,11.824795308424846,179.92165302980302
lstm_ic_h384_l3_w20,pre_may_default_censor,2025-05,inverse,19,-0.11246647467278299,-0.10458581586336482,-168.09685772137814,-179.92165302980302
lstm_ic_h384_l3_w20,pre_may_default_censor,2025-06,forward,20,0.11729082075874657,0.10052370012806511,13.705133792973358,178.49126735891335
lstm_ic_h384_l3_w20,pre_may_default_censor,2025-06,inverse,20,-0.11729082075874657,-0.10052370012806511,-164.78613356593996,-178.49126735891335
lstm_ic_h384_l3_w20,pre_may_default_censor,2025-07,forward,23,0.12791205985087925,0.127932799302586,6.998807590444695,191.4865014360934
lstm_ic_h384_l3_w20,pre_may_default_censor,2025-07,inverse,23,-0.12791205985087925,-0.127932799302586,-184.48769384564872,-191.4865014360934
lstm_ic_h384_l3_w20,pre_may_default_censor,2025-08,forward,21,0.07675326589824152,0.06420883288099029,-8.083536564039866,94.60387455709723
lstm_ic_h384_l3_w20,pre_may_default_censor,2025-08,inverse,21,-0.07675326589824152,-0.06420883288099029,-102.68741112113709,-94.60387455709723
lstm_ic_h384_l3_w20,pre_may_default_censor,2025-09,forward,22,0.08310117299882537,0.0772166654884525,-0.2861820328028195,157.1616176158634
lstm_ic_h384_l3_w20,pre_may_default_censor,2025-09,inverse,22,-0.08310117299882537,-0.0772166654884525,-157.4477996486662,-157.1616176158634
lstm_ic_h384_l3_w20,pre_may_default_censor,2025-10,forward,17,0.12340725970506788,0.12286457934454145,51.280042699277956,196.09538403935454
lstm_ic_h384_l3_w20,pre_may_default_censor,2025-10,inverse,17,-0.12340725970506788,-0.12286457934454145,-144.8153413400766,-196.09538403935454
lstm_ic_h384_l3_w20,pre_may_default_censor,2025-11,forward,20,0.09033866900709744,0.08724307900022528,-22.971615026472136,113.80787392845379
lstm_ic_h384_l3_w20,pre_may_default_censor,2025-11,inverse,20,-0.09033866900709744,-0.08724307900022528,-136.77948895492588,-113.80787392845379
lstm_ic_h384_l3_w20,pre_may_default_censor,2025-12,forward,23,0.08418126375866343,0.06803888584375417,-0.7253117434194546,91.75522833855052
lstm_ic_h384_l3_w20,pre_may_default_censor,2025-12,inverse,23,-0.08418126375866343,-0.06803888584375417,-92.48054008196998,-91.75522833855052
lstm_ic_h384_l3_w20,pre_may_default_censor,2026-01,forward,20,0.0779187398378885,0.08498262989765612,-14.427134637662673,109.80504957115045
lstm_ic_h384_l3_w20,pre_may_default_censor,2026-01,inverse,20,-0.0779187398378885,-0.08498262989765612,-124.23218420881311,-109.80504957115045
lstm_ic_h384_l3_w20,pre_may_default_censor,2026-02,forward,14,0.06123244858467063,0.04547701007434524,-10.605638869622322,44.364742878575
lstm_ic_h384_l3_w20,pre_may_default_censor,2026-02,inverse,14,-0.06123244858467063,-0.04547701007434524,-54.97038174819733,-44.364742878575
lstm_ic_h384_l3_w20,pre_may_default_censor,2026-03,forward,22,0.11050406139124319,0.10108162401927263,-17.49564731091431,158.4275332120755
lstm_ic_h384_l3_w20,pre_may_default_censor,2026-03,inverse,22,-0.11050406139124319,-0.10108162401927263,-175.9231805229898,-158.4275332120755
lstm_ic_h384_l3_w20,pre_may_default_censor,2026-04,forward,20,0.04486797259941195,0.040882465619535194,-14.682044083019715,111.76490573561749
lstm_ic_h384_l3_w20,pre_may_default_censor,2026-04,inverse,20,-0.04486797259941195,-0.040882465619535194,-126.44694981863722,-111.76490573561749
lstm_ic_h384_l3_w20,may_no_future_censor,2026-05,forward,16,-0.047732990262720765,-0.03407750561820361,-63.645638883826905,-6.057088075976931
lstm_ic_h384_l3_w20,may_no_future_censor,2026-05,inverse,16,0.047732990262720765,0.03407750561820361,-57.58855080784997,6.057088075976931
lstm_ic_h256_l3_w40,pre_may_default_censor,2025-02,forward,17,0.09061992862088782,0.07340243815085358,28.781914802761204,193.72701086446315
lstm_ic_h256_l3_w40,pre_may_default_censor,2025-02,inverse,17,-0.09061992862088782,-0.07340243815085358,-164.94509606170192,-193.72701086446315
lstm_ic_h256_l3_w40,pre_may_default_censor,2025-03,forward,21,0.13370061575800626,0.13867352732191227,-4.569023309852041,174.48146562535499
lstm_ic_h256_l3_w40,pre_may_default_censor,2025-03,inverse,21,-0.13370061575800626,-0.13867352732191227,-179.05048893520697,-174.48146562535499
lstm_ic_h256_l3_w40,pre_may_default_censor,2025-04,forward,21,0.10680239936675043,0.06161683284853138,3.6781713369280213,154.63477157616234
lstm_ic_h256_l3_w40,pre_may_default_censor,2025-04,inverse,21,-0.10680239936675043,-0.06161683284853138,-150.9566002392343,-154.63477157616234
lstm_ic_h256_l3_w40,pre_may_default_censor,2025-05,forward,19,0.10960009506448708,0.10409924840365348,14.031573889568742,203.42973864018475
