tag,direction,n,k,ic,rank_ic,icir,diracc,n_days,top10_spread_bp,top10_abs_bp,bt_annualised,bt_sharpe,bt_max_drawdown,bt_n_days
lstm_ic_h384_l2_w20,inverse,3,3,0.053009816132149834,0.029516807110983173,7.703465158779888,0.5680631890398392,16,-13.913133764617674,-75.02565284084994,2.6814654153059356,2.4494516843512897,-0.07686508179404783,15
lstm_ic_final_h384_l2_w20,inverse,3,3,0.054670368782417295,0.037646332836654535,8.873707700462427,0.5498035285433912,16,14.414500161365135,-57.15602122654673,1.7416612651127568,2.0040206381147003,-0.10752951605387251,15
lstm_ic_final_h384_l2_w20,inverse,5,3,0.054670368782417295,0.037646332836654535,8.873707700462427,0.5498035285433912,16,14.414500161365135,-57.15602122654673,0.9850187070384178,1.888583379352156,-0.07324171437980753,15
lstm_ic_final_h384_l2_w20,inverse,30,1,0.054670368782417295,0.037646332836654535,8.873707700462427,0.5498035285433912,16,14.414500161365135,-57.15602122654673,0.7954157125279124,1.8732453065465482,-0.059751471068453355,15
lstm_ic_h384_l3_w20,inverse,10,10,0.047732990262720765,0.03407750561820361,7.648904620760231,0.4315925307734969,16,6.057088075976931,-57.58855080784997,0.6240414201975026,1.5672686357581755,-0.05638061450852183,15
lstm_ic_final_h384_l2_w20,inverse,3,2,0.054670368782417295,0.037646332836654535,8.873707700462427,0.5498035285433912,16,14.414500161365135,-57.15602122654673,0.5250316525798109,0.9536334941973084,-0.1334074410048417,15
lstm_ic_final_h384_l2_w20,inverse,30,2,0.054670368782417295,0.037646332836654535,8.873707700462427,0.5498035285433912,16,14.414500161365135,-57.15602122654673,0.20834822621508597,0.6717987944992007,-0.057529511248431975,15
lstm_ic_final_h384_l2_w20,inverse,5,5,0.054670368782417295,0.037646332836654535,8.873707700462427,0.5498035285433912,16,14.414500161365135,-57.15602122654673,0.21074100540595442,0.6570411577732431,-0.09327211998438201,15
lstm_ic_h384_l3_w20,inverse,30,1,0.047732990262720765,0.03407750561820361,7.648904620760231,0.4315925307734969,16,6.057088075976931,-57.58855080784997,0.16392659381667585,0.5814067165367256,-0.0502547161752509,15
lstm_ic_final_h384_l2_w20,inverse,10,10,0.054670368782417295,0.037646332836654535,8.873707700462427,0.5498035285433912,16,14.414500161365135,-57.15602122654673,0.12501193741869532,0.5202375952856821,-0.045695122157268675,15
lstm_ic_final_h384_l2_w20,inverse,15,10,0.054670368782417295,0.037646332836654535,8.873707700462427,0.5498035285433912,16,14.414500161365135,-57.15602122654673,0.10311943127583056,0.4649908528917294,-0.05625284381957074,15
lstm_ic_final_h384_l2_w20,inverse,20,1,0.054670368782417295,0.037646332836654535,8.873707700462427,0.5498035285433912,16,14.414500161365135,-57.15602122654673,0.10501069594418633,0.437598990586501,-0.0693472988457654,15
lstm_ic_h384_l3_w20,inverse,30,2,0.047732990262720765,0.03407750561820361,7.648904620760231,0.4315925307734969,16,6.057088075976931,-57.58855080784997,0.07015524569244302,0.35796919342257855,-0.05821585266115814,15
lstm_ic_final_h384_l2_w20,inverse,30,3,0.054670368782417295,0.037646332836654535,8.873707700462427,0.5498035285433912,16,14.414500161365135,-57.15602122654673,0.05269159957711134,0.30990364601145803,-0.05489353204341918,15
lstm_ic_h384_l3_w20,inverse,30,3,0.047732990262720765,0.03407750561820361,7.648904620760231,0.4315925307734969,16,6.057088075976931,-57.58855080784997,0.027171538315028387,0.25031141342545765,-0.06174197652724012,15
lstm_ic_final_h384_l2_w20,inverse,5,1,0.054670368782417295,0.037646332836654535,8.873707700462427,0.5498035285433912,16,14.414500161365135,-57.15602122654673,-0.016208477626523332,0.23871576954129617,-0.12843004697122795,15
lstm_ic_large,inverse,20,1,0.055187056087772295,0.03650761826877622,8.050521069730863,0.4315925307734969,16,-18.47944459314021,-47.60475227521965,0.02161797775761154,0.22673785606500044,-0.06973688827751467,15
lstm_ic_final_h384_l2_w20,inverse,15,1,0.054670368782417295,0.037646332836654535,8.873707700462427,0.5498035285433912,16,14.414500161365135,-57.15602122654673,-0.03431063770037368,0.1126263604257641,-0.09567828572928483,15
lstm_ic_final_h384_l2_w20,inverse,3,1,0.054670368782417295,0.037646332836654535,8.873707700462427,0.5498035285433912,16,14.414500161365135,-57.15602122654673,-0.1574490852820407,0.05317035044492356,-0.16153513109318474,15
lstm_ic_h384_l3_w20,inverse,20,1,0.047732990262720765,0.03407750561820361,7.648904620760231,0.4315925307734969,16,6.057088075976931,-57.58855080784997,-0.07036315318841113,0.026548613205658465,-0.06461963515674773,15
lstm_ic_large,inverse,20,3,0.055187056087772295,0.03650761826877622,8.050521069730863,0.4315925307734969,16,-18.47944459314021,-47.60475227521965,-0.056667215646119096,0.015392168800490293,-0.07482465575391917,15
lstm_ic_final_h384_l2_w20,inverse,10,1,0.054670368782417295,0.037646332836654535,8.873707700462427,0.5498035285433912,16,14.414500161365135,-57.15602122654673,-0.15092832434385062,-0.07535776941483488,-0.11198671727314813,15
lstm_ic_h384_l2_w20,inverse,3,2,0.053009816132149834,0.029516807110983173,7.703465158779888,0.5680631890398392,16,-13.913133764617674,-75.02565284084994,-0.22947440179653522,-0.14477767229144203,-0.11158345200373598,15
lstm_ic_h384_l3_w20,inverse,15,2,0.047732990262720765,0.03407750561820361,7.648904620760231,0.4315925307734969,16,6.057088075976931,-57.58855080784997,-0.1338513101134462,-0.15008818652683062,-0.09356845425636762,15
lstm_ic_h384_l3_w20,inverse,15,1,0.047732990262720765,0.03407750561820361,7.648904620760231,0.4315925307734969,16,6.057088075976931,-57.58855080784997,-0.17164347508471767,-0.297282206227635,-0.07889734739864185,15
lstm_ic_final_h384_l2_w20,inverse,10,3,0.054670368782417295,0.037646332836654535,8.873707700462427,0.5498035285433912,16,14.414500161365135,-57.15602122654673,-0.20273401822038384,-0.3243156044766562,-0.08642010736857175,15
lstm_ic_h384_l2_w20,inverse,5,5,0.053009816132149834,0.029516807110983173,7.703465158779888,0.5680631890398392,16,-13.913133764617674,-75.02565284084994,-0.25726190276576877,-0.34246203574430617,-0.07503547855621517,15
lstm_ic_final_h384_l2_w20,inverse,30,10,0.054670368782417295,0.037646332836654535,8.873707700462427,0.5498035285433912,16,14.414500161365135,-57.15602122654673,-0.15500160601577084,-0.3786107633505972,-0.07074213696612153,15
lstm_ic_h384_l3_w20,inverse,20,2,0.047732990262720765,0.03407750561820361,7.648904620760231,0.4315925307734969,16,6.057088075976931,-57.58855080784997,-0.23617497764346385,-0.4585406258289855,-0.07654723622252191,15
lstm_ic_large,inverse,3,3,0.055187056087772295,0.03650761826877622,8.050521069730863,0.4315925307734969,16,-18.47944459314021,-47.60475227521965,-0.42724045144508505,-0.4902051075898068,-0.15098699869817267,15
lstm_ic_h384_l3_w20,inverse,20,3,0.047732990262720765,0.03407750561820361,7.648904620760231,0.4315925307734969,16,6.057088075976931,-57.58855080784997,-0.25556488919544584,-0.574873049899708,-0.08138116306141796,15
lstm_ic_large,inverse,30,3,0.055187056087772295,0.03650761826877622,8.050521069730863,0.4315925307734969,16,-18.47944459314021,-47.60475227521965,-0.2327113137931467,-0.6252246297074154,-0.061328084897942725,15
lstm_ic_h384_l2_w20,inverse,30,1,0.053009816132149834,0.029516807110983173,7.703465158779888,0.5680631890398392,16,-13.913133764617674,-75.02565284084994,-0.24977261784584281,-0.686241041654466,-0.06407790379501233,15
